outlet,count,total_count
"KPHO-TV (Phoenix, AZ)",45,45
"KUTV-TV (Salt Lake City, UT)",45,45
Spectrum News Texas,44,44
"WSAZ-TV (Huntington, WV)",44,44
The Daily Caller,44,44
Food & Wine Magazine,44,44
"WSOC-TV (Charlotte, NC)",44,44
The Sacramento Bee,44,44
"KDFW-TV (Dallas, TX)",44,44
Palm Beach Post,44,44
Stars and Stripes,44,44
Des Moines Register,44,44
Car and Driver Magazine,44,44
"WTNH-TV (New Haven, CT)",43,43
"WPRI-TV (Providence, RI)",43,43
"WXIX-TV (Cincinnati, OH)",43,43
The Street,43,43
"WMUR-TV (Manchester, NH)",43,43
Roll Call,42,42
Minnesota Public Radio,42,42
LNP,42,42
El Nuevo Herald,42,42
"WBAL-TV (Baltimore, MD)",42,42
Richmond Times-Dispatch,42,42
"KSHB-TV (Kansas City, MO)",42,42
Chalkbeat,41,41
Aviation Week & Space Technology,41,41
"WISC-TV (Madison, WI)",41,41
Tulsa World,41,41
"WTMJ-TV (Milwaukee, WI)",41,41
"WHAS-TV (Louisville, KY)",41,41
"The Gazette (Cedar Rapids, IA)",41,41
"WTIC-TV (Hartford, CT)",41,41
Rivals,41,41
Chattanooga Times Free Press,41,41
"WITI-TV (Milwaukee, WI)",41,41
"WWL-TV (New Orleans, LA)",41,41
"KRIV-TV (Houston, TX)",41,41
"KMOV-TV (St. Louis, MO)",41,41
theScore,41,41
The Information,41,41
"KVUE-TV (Austin, TX)",40,40
"WXMI-TV (Grand Rapids, MI)",40,40
"WIVB-TV (Buffalo, NY)",40,40
"WNEP-TV (Moosic, PA)",40,40
Dayton Daily News,40,40
"WLEX-TV (Lexington, KY)",40,40
"WDJT-TV (Milwaukee, WI)",40,40
RawStory,40,40
"KCTV-TV (Kansas City, MO)",40,40
"WVIT-TV (West Hartford, CT)",40,40
"WBTV-TV (Charlotte, NC)",40,40
The Cut,40,40
"KRQE-TV (Albuquerque, NM)",40,40
Barstool Sports,40,40
"WAVE-TV (Louisville, KY)",39,39
Wisconsin State Journal,39,39
"WWTV-TV (Cadillac, MI)",39,39
"WKRC-TV (Cincinnati, OH)",39,39
"WDSU-TV (New Orleans, LA)",39,39
"WJAR-TV (Cranston, RI)",39,39
"KTVX-TV (Salt Lake City, UT)",39,39
"KOMO-TV (Seattle, WA)",39,39
Lexington Herald-Leader,38,38
"KOTV-TV (Tulsa, OK)",38,38
"WZZM-TV (Grand Rapids, MI)",38,38
Alaska Public Media,38,38
Travel + Leisure,38,38
"KTNV-TV (Las Vegas, NV)",38,38
InStyle,38,38
NESN,38,38
"KETV-TV (Omaha, NE)",38,38
"KWQC-TV (Davenport, IA)",38,38
"WJZ-TV (Baltimore, MD)",38,38
"KPTV-TV  (Beaverton, OR)",38,38
Glamour,37,37
"WFLD-TV (Chicago, IL)",37,37
Knoxville News Sentinel,37,37
"KOAA-TV (Pueblo, CO)",37,37
New Musical Express (NME),37,37
"WTVD-TV (Durham, NC)",37,37
Republican-American,37,37
"KRDO-TV (Colorado Springs, CO)",37,37
"WYPR-FM (Baltimore, MD)",37,37
Fort Worth Star-Telegram,37,37
"KCAL-TV (Los Angeles, CA)",37,37
"WLWT-TV (Cincinnati, OH)",37,37
"KYW-AM (Philadelphia, PA)",37,37
"WCCB-TV (Charlotte, NC)",37,37
News 12 New Jersey,37,37
"WMTV-TV (Madison, WI)",36,36
La Opinion,36,36
"WBRC-TV (Birmingham, AL)",36,36
"KTVB-TV (Boise, ID)",36,36
"KTXL-TV (Sacramento, CA)",36,36
"KSTU-TV (Salt Lake City, UT)",36,36
"WSPA-TV (Spartanburg, SC)",35,35
"KOVR-TV (Sacramento, CA)",35,35
Asbury Park Press,35,35
"WTAE-TV (Pittsburgh, PA)",35,35
Houston Chronicle,35,35
